locus_id	architecture_id	replicate	stratum	n_causal	n_credible_sets	cs_sizes_json	total_cs_snps	n_causal_captured	any_causal_captured	best_cs_size	causal_pip_max	causal_pip_mean	top_pip	mean_cs_purity	min_cs_purity	converged	error	min_p_EUR	min_p_AFR	min_p_AMR	min_p_EAS	min_p_CSA	min_p_MID	runtime_s
L0000	ncsl1_h2-0.0005_rg1	0	high	1	1	[1]	1	1	True	1.0	1.0	1.0	1.0	1.0	1.0	True		1.13879e-06	9.80923e-11	0.000822421	0.00535717	9.99768e-06	0.00163498	12.58
L0000	ncsl1_h2-0.0005_rg1	1	high	1	1	[11]	11	1	True	11.0	0.124883	0.124883	0.139096	0.983876	0.983876	True		3.17705e-08	3.45546e-07	0.00215394	0.00342952	0.000806477	9.56897e-08	15.68
L0000	ncsl1_h2-0.0005_rg1	2	high	1	1	[14]	14	1	True	14.0	0.135062	0.135062	0.135062	0.920101	0.920101	True		3.39417e-06	0.00504433	0.000579012	0.000758763	0.000590558	0.00245058	12.17
L0000	ncsl1_h2-0.0005_rg1	3	high	1	1	[67]	67	1	True	67.0	0.0250785	0.0250785	0.0399114	0.976121	0.976121	True		4.63383e-05	3.4819e-08	0.00825237	0.00248343	2.86401e-06	1.91862e-05	12.36
L0000	ncsl1_h2-0.0005_rg1	4	high	1	1	[49]	49	0	False		0.00153538	0.00153538	0.385177	0.817544	0.817544	True		2.33349e-11	0.00105293	2.75022e-06	0.000910222	0.000299735	0.000304541	12.32
L0000	ncsl1_h2-0.0005_rg1	5	high	1	0	[]	0	0	False							False		1.65583e-05	0.000298208	0.00104796	0.0048341	0.00076593	0.000118247	24.86
L0000	ncsl1_h2-0.0005_rg1	6	high	1	1	[1]	1	1	True	1.0	0.998478	0.998478	0.998478	1.0	1.0	True		4.76524e-06	0.00642935	0.00308241	0.00115184	0.00316759	0.000508743	15.95
L0000	ncsl1_h2-0.0005_rg1	7	high	1	1	[94]	94	0	False		0.000671817	0.000671817	0.035557	0.891948	0.891948	True		1.87116e-05	1.83134e-07	0.000860542	0.000532052	7.68748e-06	5.86287e-05	21.27
L0000	ncsl1_h2-0.0005_rg1	8	high	1	1	[3]	3	1	True	3.0	0.280016	0.280016	0.49414	0.995009	0.995009	True		1.82196e-09	0.00035768	0.00176696	0.00504588	2.44317e-08	0.00203025	12.6
L0000	ncsl1_h2-0.0005_rg1	9	high	1	1	[22]	22	1	True	22.0	0.0341189	0.0341189	0.656558	0.852778	0.852778	True		6.7069e-07	0.000354988	8.43638e-05	0.000151988	1.33688e-05	8.71983e-05	12.49
L0000	ncsl1_h2-0.001_rg0.5	0	high	1	1	[2]	2	1	True	2.0	0.838815	0.838815	0.838815	0.992154	0.992154	True		1.79795e-28	0.0010618	9.12182e-05	0.00115324	0.0135724	6.28754e-13	12.89
L0000	ncsl1_h2-0.001_rg0.5	1	high	1	1	[22]	22	1	True	22.0	0.0676547	0.0676547	0.0904357	0.978106	0.978106	True		0.000894648	1.09035e-15	0.000811367	0.000508544	0.00126357	0.00056186	14.57
L0000	ncsl1_h2-0.001_rg0.5	2	high	1	0	[]	0	0	False							False		0.000809199	3.59446e-16	0.000157976	0.000275882	0.00143812	0.00194073	13.26
L0000	ncsl1_h2-0.001_rg0.5	3	high	1	1	[27]	27	1	True	27.0	0.030844	0.030844	0.127493	0.900779	0.900779	True		7.49118e-13	5.24715e-11	0.000257294	0.00250015	3.30568e-08	0.000409372	9.82
L0000	ncsl1_h2-0.001_rg0.5	4	high	1	1	[25]	25	0	False		0.00729939	0.00729939	0.194465	0.880595	0.880595	True		2.75745e-16	0.000954162	0.000710233	8.79399e-05	2.05305e-05	0.00346945	11.7
L0000	ncsl1_h2-0.001_rg0.5	5	high	1	1	[16]	16	1	True	16.0	0.175488	0.175488	0.175488	0.994348	0.994348	True		1.01386e-13	0.000221823	0.0015748	0.00499693	0.00283117	2.87687e-09	11.5
L0000	ncsl1_h2-0.001_rg0.5	6	high	1	1	[45]	45	1	True	45.0	0.34843	0.34843	0.34843	0.877259	0.877259	True		2.087e-05	3.68092e-07	0.00406087	0.000787935	1.35667e-11	0.000315162	23.59
L0000	ncsl1_h2-0.001_rg0.5	7	high	1	1	[4]	4	1	True	4.0	0.469843	0.469843	0.469843	0.997071	0.997071	True		0.000743684	6.65925e-12	4.54125e-06	0.00235139	0.000149348	0.00110813	20.38
L0000	ncsl1_h2-0.001_rg0.5	8	high	1	1	[19]	19	1	True	19.0	0.0718639	0.0718639	0.158223	1.0	1.0	True		5.79829e-15	0.0023962	6.09676e-06	0.000615651	0.00131505	1.55634e-15	19.75
L0000	ncsl1_h2-0.001_rg0.5	9	high	1	1	[121]	121	1	True	121.0	0.00925493	0.00925493	0.0135681	0.775568	0.775568	True		2.82426e-07	0.00897367	0.00200476	0.000260981	6.09997e-06	0.00331358	13.09
L0000	ncsl1_h2-0.001_rg0.7	0	high	1	1	[18]	18	1	True	18.0	0.05212	0.05212	0.252026	0.888975	0.888975	True		6.20157e-07	0.000312261	0.000402546	0.00234734	0.00223516	0.00797084	11.59
L0000	ncsl1_h2-0.001_rg0.7	1	high	1	1	[16]	16	1	True	16.0	0.236361	0.236361	0.236361	0.952484	0.952484	True		3.52681e-11	0.000514528	0.00802961	0.00113826	2.21925e-07	4.47506e-07	9.87
L0000	ncsl1_h2-0.001_rg0.7	2	high	1	1	[1]	1	1	True	1.0	0.99775	0.99775	0.99775	1.0	1.0	True		0.00437432	6.51923e-12	0.000179651	0.0039482	0.00163167	4.94045e-10	8.53
L0000	ncsl1_h2-0.001_rg0.7	3	high	1	1	[4]	4	1	True	4.0	0.279991	0.279991	0.279991	1.0	1.0	True		0.00768714	0.00607799	9.65513e-12	0.00184949	0.00281958	1.06906e-11	12.04
L0000	ncsl1_h2-0.001_rg0.7	4	high	1	1	[7]	7	1	True	7.0	0.116273	0.116273	0.417784	0.988983	0.988983	True		0.00136446	2.1053e-15	0.000691125	0.00189105	3.71483e-09	8.94807e-07	12.99
L0000	ncsl1_h2-0.001_rg0.7	5	high	1	1	[2]	2	1	True	2.0	0.760113	0.760113	0.760113	0.94405	0.94405	True		0.000881488	5.25896e-23	0.00309183	0.00432615	0.00122095	0.00432225	11.42
L0000	ncsl1_h2-0.001_rg0.7	6	high	1	1	[4]	4	1	True	4.0	0.506457	0.506457	0.506457	0.95514	0.95514	True		0.000757527	3.81744e-19	0.00101866	0.00180162	0.00042027	1.44334e-05	11.12
L0000	ncsl1_h2-0.001_rg0.7	7	high	1	1	[2]	2	1	True	2.0	0.301072	0.301072	0.698928	0.975879	0.975879	True		2.04527e-05	0.000881112	0.00751628	0.00139208	7.31519e-07	2.21569e-07	17.6
L0000	ncsl1_h2-0.001_rg0.7	8	high	1	1	[1]	1	1	True	1.0	1.0	1.0	1.0	1.0	1.0	True		8.88231e-10	0.000241287	0.00104441	0.00287043	0.000628755	1.35715e-07	11.4
L0000	ncsl1_h2-0.001_rg0.7	9	high	1	1	[25]	25	1	True	25.0	0.0182898	0.0182898	0.103163	0.963955	0.963955	True		0.00199392	2.46531e-20	0.000879393	0.00528316	0.00318234	0.000144723	12.04
L0000	ncsl1_h2-0.001_rg1	0	high	1	1	[1]	1	1	True	1.0	1.0	1.0	1.0	1.0	1.0	True		1.5909e-12	1.20505e-15	0.000612259	0.00796324	1.81408e-06	9.93586e-05	10.56
