ncsl	h2_target	rg	n_instances	power_any_causal	mean_n_cs	median_best_cs_size	mean_causal_pip
1	0.0005	1.0	790.0	0.8189873417721519	0.8569620253164557	3.0	0.5666043647797417
1	0.001	0.5	790.0	0.9088607594936708	0.9379746835443038	2.0	0.6333896900014364
1	0.001	0.7	790.0	0.9113924050632911	0.9455696202531646	2.0	0.6365054877846811
1	0.001	1.0	790.0	0.9354430379746835	0.9569620253164557	2.0	0.6827784396842247
1	0.005	1.0	790.0	0.930379746835443	0.979746835443038	1.0	0.8388478334080737
2	0.0005	1.0	790.0	0.7316455696202532	0.8063291139240506	3.0	0.5390769006009062
2	0.001	0.5	790.0	0.9012658227848102	1.2860759493670886	2.0	0.6190940538513001
2	0.001	0.7	790.0	0.8936708860759494	1.2607594936708861	2.0	0.6289829931518915
2	0.001	1.0	790.0	0.9215189873417722	1.1936708860759493	2.0	0.6433846361249533
2	0.005	1.0	790.0	0.9417721518987342	1.5873417721518988	1.0	0.8800267944369975
3	0.0005	1.0	790.0	0.6569620253164556	0.7506329113924051	4.0	0.4812800174455754
3	0.001	0.5	790.0	0.8974683544303798	1.3924050632911393	2.0	0.608989679744986
3	0.001	0.7	790.0	0.910126582278481	1.3936708860759495	3.0	0.587228968523069
3	0.001	1.0	790.0	0.9126582278481012	1.3139240506329113	2.0	0.6432842759596491
3	0.005	1.0	790.0	0.9392405063291139	2.0873417721518988	1.0	0.908579258314343
